pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,,,,no.,sequential,random
-150,z,5,3,23,3,,,,,78.079731,79.077443,79.077443,79.077443,79.077443,79.094154,80.0747393,80.0747393,z,1,0.4028257,1,1,2022-09-30_13h30.39.796,tutorial_4,2022.2.4,60.17368533,,,,24,0.3654433,0.4317933
-50,x,6,0,24,0,,,,,80.5071531,81.5043434,81.5043434,81.5043434,81.5043434,81.5207002,82.5014223,82.5014223,x,1,0.3956431,1,1,2022-09-30_13h30.39.796,tutorial_4,2022.2.4,60.17368533,,,,25,0.5843805,0.5281543
150,v,6,1,25,1,,,,,82.9168713,83.9145384,83.9145384,83.9145384,83.9145384,83.9312301,84.91147,84.91147,v,1,0.3654433,1,1,2022-09-30_13h30.39.796,tutorial_4,2022.2.4,60.17368533,,,,26,0.389764,0.4086484
50,c,6,2,26,2,,,,,85.2941564,86.2913548,86.2913548,86.2913548,86.2913548,86.3081026,87.2887037,87.2887037,c,1,0.5843805,1,1,2022-09-30_13h30.39.796,tutorial_4,2022.2.4,60.17368533,,,,27,0.4466606,0.5440726
-150,z,6,3,27,3,,,,,87.9036717,88.9004781,88.9004781,88.9004781,88.9004781,88.9175169,89.898394,89.898394,z,1,0.389764,1,1,2022-09-30_13h30.39.796,tutorial_4,2022.2.4,60.17368533,,,,28,0.5476025,0.4903743
-50,x,7,0,28,0,,,,,90.31369,91.3114892,91.3114892,91.3114892,91.3114892,91.3274621,92.3083354,92.3083354,x,1,0.4466606,1,1,2022-09-30_13h30.39.796,tutorial_4,2022.2.4,60.17368533,,,,29,0.2778327,0.4712697
150,v,7,1,29,1,,,,,92.7737519,93.7707266,93.7707266,93.7707266,93.7707266,93.7871856,94.7682654,94.7682654,v,1,0.5476025,1,1,2022-09-30_13h30.39.796,tutorial_4,2022.2.4,60.17368533,,,,30,0.3084381,0.4440939
50,c,7,2,30,2,,,,,95.3331771,96.3303937,96.3303937,96.3303937,96.3303937,96.3473858,97.327914,97.327914,c,1,0.2778327,1,1,2022-09-30_13h30.39.796,tutorial_4,2022.2.4,60.17368533,,,,31,0.238257,0.3629312
-150,z,7,3,31,3,,,,,97.6269476,98.6243609,98.6243609,98.6243609,98.6243609,98.6407135,99.6216064,99.6216064,z,1,0.3084381,1,1,2022-09-30_13h30.39.796,tutorial_4,2022.2.4,60.17368533,,,,32,0.215442,0.4513718
-50,x,8,0,32,0,,,,,99.9539836,100.9512498,100.9512498,100.9512498,100.9512498,100.9680386,101.9487459,101.9487459,x,1,0.238257,1,1,2022-09-30_13h30.39.796,tutorial_4,2022.2.4,60.17368533,,,,33,0.2291064,0.6076536
