trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate
27,0,27,0,5,96.8345815,96.8345815,0.0213311,[-0.4564814814814815],[-0.027777777777777776],[1],[0],[0],[2.9132304000668228],['target'],1,1,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494048
28,0,28,0,10,99.8040719,99.8040719,0.0472241,[0.29074074074074074],[0.2111111111111111],[1],[0],[0],[2.8716428000479937],['target'],1,1,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494048
29,0,29,0,10,102.7235152,102.7235152,0.0360071,[-0.4222222222222222],[-0.41388888888888886],[1],[0],[0],[4.062167500145733],['target'],1,1,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494048
30,0,30,0,10,106.8268065,106.8268065,0.0432978,[0.044444444444444446],[0.07407407407407407],[1],[0],[0],[2.6598656000569463],['target'],1,1,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494048
31,0,31,0,5,109.507216,109.507216,0.0162812,[0.18703703703703703],[0.22870370370370371],[1],[0],[0],[1.4235306000337005],['target'],1,1,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494048
32,0,32,0,5,110.9665293,110.9665293,0.028386,[-0.29907407407407405],[-0.017592592592592594],[1],[0],[0],[1.9756964000407606],['target'],1,1,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494048
33,0,33,0,10,112.9968586,112.9968586,0.0411332,[-0.2824074074074074],[-0.2074074074074074],[1],[0],[0],[3.772948799887672],['target'],1,1,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494048
34,0,34,0,10,116.8137949,116.8137949,0.0386271,[-0.16203703703703703],[-0.2851851851851852],[1],[0],[0],[2.082919199950993],['target'],1,1,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494048
35,0,35,0,10,118.9376924,118.9376924,0.0348209,[-0.32407407407407407],[-0.13333333333333333],[1],[0],[0],[3.050321100046858],['target'],1,1,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494048
36,0,36,0,10,122.0311185,122.0311185,0.0389392,[0.12037037037037036],[-0.04351851851851852],[1],[0],[0],[1.5161447001155466],['target'],1,1,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494048
37,0,37,0,10,123.5947772,123.5947772,0.0412826,[0.24074074074074073],[-0.425],[1],[0],[0],[3.3094117001164705],['target'],1,1,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494048
38,0,38,0,5,126.9354309,126.9354309,0.0230212,[0.2962962962962963],[-0.4203703703703704],[1],[0],[0],[7.5504092001356184],['target'],1,1,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494048
39,0,39,0,10,134.5261628,134.5261628,0.0316539,[0.41759259259259257],[-0.46296296296296297],[1],[0],[0],[4.997222000034526],['target'],1,1,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494048
40,0,40,0,5,139.5531454,139.5531454,0.0248774,[0.42314814814814816],[0.053703703703703705],[1],[0],[0],[2.8761652999091893],['target'],1,1,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494048
41,0,41,0,10,142.4797211,142.4797211,0.0381214,[-0.20092592592592592],[-0.1712962962962963],[1],[0],[0],[3.595360699808225],['target'],1,1,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494048
42,0,42,0,5,146.1002572,146.1002572,0.0240505,[-0.39444444444444443],[0.3611111111111111],[1],[0],[0],[2.794299399945885],['target'],1,1,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494048
43,0,43,0,10,148.9452059,148.9452059,0.0395087,[-0.06759259259259259],[0.3287037037037037],[1],[0],[0],[2.0813263000454754],['target'],1,1,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494048
44,0,44,0,10,151.0652748,151.0652748,0.0318753,[-0.3138888888888889],[0.14907407407407408],[1],[0],[0],[2.2057948999572545],['target'],1,1,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494048
45,0,45,0,10,153.3110106,153.3110106,0.0336607,[0.010185185185185186],[0.3111111111111111],[1],[0],[0],[1.9708442001137882],['target'],1,1,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494048
46,0,46,0,10,155.323678,155.323678,0.0359164,[-0.3648148148148148],[-0.15925925925925927],[1],[0],[0],[1.9854492000304163],['target'],1,1,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494048
47,0,47,0,10,157.3427864,157.3427864,0.0299381,[0.4027777777777778],[-0.2777777777777778],[1],[0],[0],[2.4393052998930216],['target'],1,1,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494048
48,0,48,0,5,159.8117741,159.8117741,0.0234971,[0.22592592592592592],[0.37407407407407406],[1],[0],[0],[2.4464991001877934],['target'],1,1,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494048
49,0,49,0,10,162.3060312,162.3060312,0.0371591,[-0.2824074074074074],[0.32407407407407407],[1],[0],[0],[2.033427899936214],['target'],1,1,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494048
50,0,50,0,5,164.3665668,164.3665668,0.0236179,[-0.19537037037037036],[0.041666666666666664],[1],[0],[0],[1.382743899943307],['target'],1,1,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494048
51,0,51,0,5,165.7787353,165.7787353,0.0240609,[0.21944444444444444],[-0.17314814814814813],[1],[0],[0],[1.9977541998960078],['target'],1,1,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494048
52,0,52,0,10,167.8277192,167.8277192,0.0440686,[0.14074074074074075],[0.2490740740740741],[1],[0],[0],[2.125834599835798],['target'],1,1,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494048
53,0,53,0,10,170.0230129,170.0230129,0.0516788,[-0.29444444444444445],[0.027777777777777776],[1],[0],[0],[1.7502683999482542],['target'],1,1,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494048
54,0,54,0,5,171.80065,171.80065,0.023135,[-0.27685185185185185],[0.4324074074074074],[1],[0],[0],[3.211889000143856],['target'],1,1,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494048
55,0,55,0,5,175.0480593,175.0480593,0.0289953,[-0.17037037037037037],[0.11666666666666667],[1],[0],[0],[1.8917858998756856],['target'],1,1,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494048
56,0,56,0,10,176.9863914,176.9863914,0.0400423,[0.12407407407407407],[-0.062037037037037036],[1],[0],[0],[2.1811280001420528],['target'],1,1,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494048
57,0,57,0,10,179.2288039,179.2288039,0.0506649,[0.14907407407407408],[0.18703703703703703],[1],[0],[0],[1.7369035999290645],['target'],1,1,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494048
58,0,58,0,5,180.9919768,180.9919768,0.0272517,[-0.2898148148148148],[0.30092592592592593],[1],[0],[0],[2.858815599931404],['target'],1,1,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494048
59,0,59,0,5,183.8832178,183.8832178,0.0246986,[0.3787037037037037],[0.26296296296296295],[1],[0],[0],[2.0450621000491083],['target'],1,1,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494048
60,0,60,0,5,185.9576914,185.9576914,0.0236745,[0.2722222222222222],[0.1],[1],[0],[0],[1.5313009000383317],['target'],1,1,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494048
61,0,61,0,10,187.5412196,187.5412196,0.0398851,[-0.1574074074074074],[-0.2953703703703704],[1],[0],[0],[3.028252199990675],['target'],1,1,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494048
62,0,62,0,10,190.6104981,190.6104981,0.0320606,[-0.24722222222222223],[-0.012962962962962963],[1],[0],[0],[2.6712758000940084],['target'],1,1,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494048
63,0,63,0,5,193.3070019,193.3070019,0.0272932,[-0.487962962962963],[0.325],[1],[0],[0],[2.0940723998937756],['target'],1,1,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494048
64,0,64,0,5,195.4214309,195.4214309,0.0153121,[-0.41574074074074074],[0.14722222222222223],[1],[0],[0],[1.4574960998725146],['target'],1,1,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494048
65,0,65,0,10,196.920419,196.920419,0.0295578,[-0.41574074074074074],[0.14722222222222223],[1],[0],[0],[0.981313900090754],['target'],1,1,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494048
66,0,66,0,10,197.9228077,197.9228077,0.025069,[-0.4583333333333333],[0.13425925925925927],[1],[0],[0],[1.898488000035286],['target'],1,1,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494048
67,0,67,0,10,199.8530979,199.8530979,0.0259576,[-0.13425925925925927],[0.12962962962962962],[1],[0],[0],[3.412163200089708],['target'],1,1,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494048
68,0,68,0,10,203.3119276,203.3119276,0.0390553,[-0.2962962962962963],[0.08148148148148149],[1],[0],[0],[1.6001517998520285],['target'],1,1,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494048
69,0,69,0,5,204.9365231,204.9365231,0.0205766,[0.08888888888888889],[-0.14537037037037037],[1],[0],[0],[2.4493680000305176],['target'],1,1,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494048
70,0,70,0,5,207.4209829,207.4209829,0.0261389,[-0.013888888888888888],[0.3055555555555556],[1],[0],[0],[2.0941614999901503],['target'],1,1,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494048
71,0,71,0,10,209.5567714,209.5567714,0.0314291,[-0.30092592592592593],[-0.2953703703703704],[1],[0],[0],[2.437766300048679],['target'],1,1,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494048
72,0,72,0,10,212.039078,212.039078,0.0378238,[-0.16203703703703703],[0.4564814814814815],[1],[0],[0],[5.789502300089225],['target'],1,1,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494048
73,0,73,0,5,217.8536261,217.8536261,0.0227645,[0.17314814814814813],[-0.42962962962962964],[1],[0],[0],[3.4279771000146866],['target'],1,1,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494048
74,0,74,0,5,221.3083959,221.3083959,0.0215628,[0.362962962962963],[0.06296296296296296],[1],[0],[0],[1.749682400142774],['target'],1,1,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494048
75,0,75,0,10,223.113198,223.113198,0.0472334,[0.0824074074074074],[0.3907407407407407],[1],[0],[0],[2.273443400161341],['target'],1,1,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494048
76,0,76,0,5,225.4161251,225.4161251,0.0218298,[0.041666666666666664],[-0.33055555555555555],[1],[0],[0],[2.647417000029236],['target'],1,1,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494048
77,0,77,0,10,228.1111062,228.1111062,0.0382218,[0.2611111111111111],[-0.1824074074074074],[1],[0],[0],[2.4314667999278754],['target'],1,1,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494048
78,0,78,0,5,230.5708245,230.5708245,0.0240128,[-0.2601851851851852],[-0.3888888888888889],[1],[0],[0],[2.7941745999269187],['target'],1,1,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494048
79,0,79,0,5,233.3962614,233.3962614,0.0252634,[-0.18425925925925926],[0.09814814814814815],[1],[0],[0],[1.7802300998009741],['target'],1,1,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494048
80,0,80,0,5,235.2083127,235.2083127,0.0238457,[0.09722222222222222],[-0.16296296296296298],[1],[0],[0],[2.2297985998447984],['target'],1,1,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494048
81,0,81,0,10,237.4851777,237.4851777,0.0387489,[0.3453703703703704],[0.15],[1],[0],[0],[1.9319496001116931],['target'],1,1,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494048
82,0,82,0,5,239.4419118,239.4419118,0.0214452,[-0.3925925925925926],[-0.09351851851851851],[1],[0],[0],[2.3484781000297517],['target'],1,1,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494048
83,0,83,0,10,241.8396764,241.8396764,0.0363767,[0.4962962962962963],[0.3787037037037037],[1],[0],[0],[3.26463139988482],['target'],1,1,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494048
84,0,84,0,5,245.1361902,245.1361902,0.022732,[-0.09537037037037037],[-0.12685185185185185],[1],[0],[0],[1.5663113999180496],['target'],1,1,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494048
85,0,85,0,5,246.7280078,246.7280078,0.024147,[0.36574074074074076],[0.36203703703703705],[1],[0],[0],[1.5976462999824435],['target'],1,1,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494048
86,0,86,0,5,248.3605879,248.3605879,0.0267323,[-0.06018518518518518],[0.053703703703703705],[1],[0],[0],[1.729235399980098],['target'],1,1,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494048
