trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
90,0,90,0,5,256.3666850000154,256.3666850000154,0.023179000010713935,[-0.17592592592592593],[0.2361111111111111],[1],[0],[0],[1.6813064001034945],['target'],01,001,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494047587652,
91,0,91,0,5,258.0771302001085,258.0771302001085,0.023596500046551228,[0.175],[0.21481481481481482],[1],[0],[0],[1.582354199839756],['target'],01,001,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494047587652,
92,0,92,0,10,259.7101839000825,259.7101839000825,0.03571419999934733,[-0.22962962962962963],[-0.004629629629629629],[1],[0],[0],[1.5198222000617534],['target'],01,001,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494047587652,
93,0,93,0,10,261.2631065000314,261.2631065000314,0.03387609985657036,[-0.07037037037037037],[0.2490740740740741],[1],[0],[0],[1.6377477999776602],['target'],01,001,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494047587652,
94,0,94,0,5,262.9375110999681,262.9375110999681,0.02759329997934401,[0.11203703703703703],[-0.3712962962962963],[1],[0],[0],[1.6432579001411796],['target'],01,001,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494047587652,
95,0,95,0,10,264.65001570014283,264.65001570014283,0.05173749988898635,[0.3712962962962963],[0.33425925925925926],[1],[0],[0],[2.151934999972582],['target'],01,001,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494047587652,
96,0,96,0,5,266.8289634999819,266.8289634999819,0.028629499953240156,[-0.18055555555555555],[0.49537037037037035],[1],[0],[0],[3.8374476998578757],['target'],01,001,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494047587652,
97,0,97,0,5,270.6998446001671,270.6998446001671,0.027572800172492862,[-0.13703703703703704],[0.022222222222222223],[1],[0],[0],[1.90966030000709],['target'],01,001,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494047587652,
98,0,98,0,5,272.6442160999868,272.6442160999868,0.026702499948441982,[-0.287962962962963],[0.2574074074074074],[1],[0],[0],[1.9425538999494165],['target'],01,001,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494047587652,
99,0,99,0,5,274.61694760015234,274.61694760015234,0.02367569995112717,[0.11296296296296296],[-0.45740740740740743],[1],[0],[0],[2.414003200130537],['target'],01,001,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494047587652,
100,0,100,0,5,277.060450399993,277.060450399993,0.0246673000510782,[-0.4564814814814815],[-0.014814814814814815],[1],[0],[0],[1.8463415999431163],['target'],01,001,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494047587652,
101,0,101,0,10,278.95948359998874,278.95948359998874,0.043214499950408936,[-0.26851851851851855],[0.3509259259259259],[1],[0],[0],[1.9115206999704242],['target'],01,001,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494047587652,
102,0,102,0,10,280.911857200088,280.911857200088,0.03263989998959005,[-0.38796296296296295],[-0.42777777777777776],[1],[0],[0],[3.1680695000104606],['target'],01,001,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494047587652,
103,0,103,0,5,284.1133851001505,284.1133851001505,0.02559129986912012,[0.44351851851851853],[0.387037037037037],[1],[0],[0],[2.5110581999178976],['target'],01,001,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494047587652,
104,0,104,0,10,286.66963350004517,286.66963350004517,0.03667839989066124,[-0.12777777777777777],[0.3388888888888889],[1],[0],[0],[2.5827342998236418],['target'],01,001,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494047587652,
105,0,105,0,10,289.2905078001786,289.2905078001786,0.03340620012022555,[-0.4898148148148148],[0.05648148148148148],[1],[0],[0],[2.4862401999998838],['target'],01,001,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494047587652,
